location,ksh,type,county,district,district_code,territory,population,number_of_households
Aparhant,26125,község,Tolna,Bonyhád,170 0,1796,1009,386
Apátfalva,14252,község,Csongrád,Makó,073 0,5373,2920,1539
Apátistvánfalva,08873,község,Vas,Szentgotthárd,180 0,1286,377,164
Apátvarasd,27298,község,Baranya,Pécsvárad,029 0,814,129,38
Apc,07241,község,Heves,Hatvan,107 0,2046,2453,1099
Áporka,10108,község,Pest,Ráckeve,134 0,1747,1067,490
Apostag,21148,község,Bács-Kiskun,Kunszentmiklós,043 0,3194,2010,965
Aranyosapáti,09353,község,Szabolcs-Szatmár-Bereg,Vásárosnamény,159 0,2109,2047,675
Aranyosgadány,06886,község,Baranya,Pécs,028 0,826,369,138
Arka,26198,község,Borsod-Abaúj-Zemplén,Gönc,057 0,949,54,66
Arló,14331,nagyközség,Borsod-Abaúj-Zemplén,Ózd,062 0,4685,3798,1120
Arnót,03771,község,Borsod-Abaúj-Zemplén,Miskolc,061 0,1754,2420,824
Ároktő,03823,község,Borsod-Abaúj-Zemplén,Mezőcsát,059 0,4641,1116,479
Árpádhalom,19062,község,Csongrád,Szentes,076 0,4517,514,247
Árpás,32249,község,Győr-Moson-Sopron,Tét,092 0,1426,273,129
Ártánd,03319,község,Hajdú-Bihar,Berettyóújfalu,094 0,1979,514,249
Ásotthalom,10339,nagyközség,Csongrád,Mórahalom,074 0,12255,3849,1930
Ásványráró,26921,község,Győr-Moson-Sopron,Mosonmagyaróvár,089 0,3910,1914,805
Aszaló,04233,község,Borsod-Abaúj-Zemplén,Szikszó,067 0,2536,1843,631
Ászár,23852,község,Komárom-Esztergom,Kisbér,111 0,1868,1714,674
Aszód,16188,város,Pest,Aszód,122 1,1620,6162,2460
Aszófő,07339,község,Veszprém,Balatonfüred,185 0,832,389,196
Áta,28583,község,Baranya,Pécs,028 0,809,165,90
Átány,06503,község,Heves,Heves,108 0,5040,1490,574
Atkár,16090,község,Heves,Gyöngyös,106 0,3376,1715,729
Attala,32735,község,Tolna,Dombóvár,171 0,2064,820,365
Babarc,05403,község,Baranya,Bóly,024 0,1885,708,315
Babarcszőlős,09663,község,Baranya,Siklós,031 0,425,109,61
Babócsa,30474,község,Somogy,Barcs,140 0,3099,1510,700
Bábolna,19363,város,Komárom-Esztergom,Komárom,112 0,3357,3789,1376
Bábonymegyer,28316,község,Somogy,Tab,147 0,2193,790,364
Babosdöbréte,21263,község,Zala,Zalaegerszeg,197 0,1252,473,228
Babót,15042,község,Győr-Moson-Sopron,Kapuvár,088 0,2167,1128,472
Bácsalmás,10719,város,Bács-Kiskun,Bácsalmás,034 1,10832,6586,3132
Bácsbokod,10180,nagyközség,Bács-Kiskun,Bácsalmás,034 0,6393,2567,1219
Bácsborsód,27234,község,Bács-Kiskun,Bácsalmás,034 0,7753,1124,416
Bácsszentgyörgy,08697,község,Bács-Kiskun,Baja,035 0,1475,155,96
Bácsszőlős,30155,község,Bács-Kiskun,Bácsalmás,034 0,3881,360,225
Badacsonytomaj,22327,város,Veszprém,Tapolca,189 0,3270,2150,1080
Badacsonytördemic,03267,község,Veszprém,Tapolca,189 0,1025,878,449
Bag,09131,nagyközség,Pest,Aszód,122 0,2355,3584,1339
Bagamér,20011,nagyközség,Hajdú-Bihar,Nyíradony,101 0,4702,2540,971
Baglad,11059,község,Zala,Lenti,194 0,486,38,41
Bagod,30368,község,Zala,Zalaegerszeg,197 0,1636,1270,465
Bágyogszovát,28769,község,Győr-Moson-Sopron,Csorna,086 0,2406,1293,547
Baj,29212,község,Komárom-Esztergom,Tata,114 0,2113,2779,1068
Baja,03522,város,Bács-Kiskun,Baja,035 1,17792,35718,16977
Bajánsenye,17020,község,Vas,Körmend,177 0,2185,487,242
Bajna,16744,község,Komárom-Esztergom,Esztergom,110 0,3721,1935,779
Bajót,29355,község,Komárom-Esztergom,Esztergom,110 0,1643,1602,559
Bak,04738,község,Zala,Zalaegerszeg,197 0,2305,1578,583
Bakháza,14395,község,Somogy,Nagyatád,145 0,592,184,85
Bakóca,22275,község,Baranya,Sásd,025 0,1065,269,134
Bakonszeg,15167,község,Hajdú-Bihar,Berettyóújfalu,094 0,3496,1194,574
Bakonya,08299,község,Baranya,Pécs,028 0,1507,322,142
Bakonybánk,24244,község,Komárom-Esztergom,Kisbér,111 0,1506,439,216
Bakonybél,23746,község,Veszprém,Zirc,192 0,2436,1221,569
Bakonycsernye,08730,község,Fejér,Mór,082 0,3813,2952,1209
Bakonygyirót,28936,község,Győr-Moson-Sopron,Pannonhalma,090 0,685,139,117
Bakonyjákó,29513,község,Veszprém,Pápa,187 0,4716,630,259
Bakonykoppány,07287,község,Veszprém,Pápa,187 0,683,194,116
Bakonykúti,23153,község,Fejér,Székesfehérvár,085 0,1245,131,75
